date,AAPL
2019-07-05,202.367676
2019-07-08,198.196075
2019-07-09,199.404968
2019-07-10,201.376816
2019-07-11,199.910309
2019-07-12,201.446182
2019-07-15,203.33876
2019-07-16,202.635223
2019-07-17,201.495712
2019-07-18,203.784653
2019-07-19,200.742645
2019-07-22,205.330429
2019-07-23,206.935638
2019-07-24,206.767212
2019-07-25,205.132263
2019-07-26,205.845688
2019-07-29,207.76799
2019-07-30,206.87619
2019-07-31,211.097366
2019-08-01,206.529373
2019-08-02,202.159607
2019-08-05,191.576981
2019-08-06,195.203613
2019-08-07,197.225006
2019-08-08,201.574982
2019-08-09,199.913925
2019-08-12,199.406647
2019-08-13,207.851212
2019-08-14,201.664505
2019-08-15,200.659912
2019-08-16,205.394424
2019-08-19,209.223816
2019-08-20,209.233765
2019-08-21,211.501556
2019-08-22,211.322525
2019-08-23,201.555099
2019-08-26,205.384476
2019-08-27,203.066956
2019-08-28,204.429626
2019-08-29,207.890976
2019-08-30,207.622437
2019-09-03,204.598694
2019-09-04,208.070038
2019-09-05,212.138123
2019-09-06,212.118225
2019-09-09,213.023361
2019-09-10,215.53981
2019-09-11,222.392929
2019-09-12,221.895599
2019-09-13,217.578842
2019-09-16,218.722687
2019-09-17,219.518402
2019-09-18,221.577332
2019-09-19,219.777023
2019-09-20,216.564285
2019-09-23,217.548996
2019-09-24,216.514557
2019-09-25,219.846634
2019-09-26,218.712738
2019-09-27,217.648483
2019-09-30,222.770889
2019-10-01,223.387573
2019-10-02,217.78772
2019-10-03,219.637756
2019-10-04,225.794617
2019-10-07,225.844345
2019-10-08,223.198593
2019-10-09,225.814514
2019-10-10,228.858124
2019-10-11,234.945358
2019-10-14,234.607178
2019-10-15,234.060135
2019-10-16,233.115204
2019-10-17,234.02034
2019-10-18,235.144302
2019-10-21,239.222336
2019-10-22,238.675293
2019-10-23,241.878036
2019-10-24,242.275894
2019-10-25,245.259842
2019-10-28,247.716614
2019-10-29,241.987442
