date,NDX.Adjusted
2019-06-11,7513.850098
2019-06-12,7472.290039
2019-06-13,7510.680176
2019-06-14,7479.109863
2019-06-17,7526.52002
2019-06-18,7635.399902
2019-06-19,7667.740234
2019-06-20,7738.049805
2019-06-21,7728.779785
2019-06-24,7723.02002
2019-06-25,7591.540039
2019-06-26,7627.049805
2019-06-27,7657.049805
2019-06-28,7671.080078
2019-07-01,7768.140137
2019-07-02,7799.819824
2019-07-03,7857.689941
2019-07-05,7841.299805
2019-07-08,7785.790039
2019-07-09,7826.859863
2019-07-10,7903.399902
2019-07-11,7896.779785
2019-07-12,7943.240234
2019-07-15,7966.930176
2019-07-16,7927.080078
2019-07-17,7888.759766
2019-07-18,7904.129883
2019-07-19,7834.899902
2019-07-22,7905.120117
2019-07-23,7954.560059
2019-07-24,8010.609863
2019-07-25,7929.870117
2019-07-26,8016.950195
2019-07-29,7989.080078
2019-07-30,7952.470215
2019-07-31,7848.779785
2019-08-01,7801.149902
2019-08-02,7692.799805
2019-08-05,7415.689941
2019-08-06,7521.319824
2019-08-07,7551.899902
2019-08-08,7724.830078
2019-08-09,7646.27002
2019-08-12,7561.680176
2019-08-13,7728.149902
2019-08-14,7490.129883
2019-08-15,7484.890137
2019-08-16,7604.109863
2019-08-19,7719.319824
2019-08-20,7664.470215
2019-08-21,7733.220215
2019-08-22,7707.430176
2019-08-23,7464.990234
2019-08-26,7575.02002
2019-08-27,7566.029785
2019-08-28,7587.899902
2019-08-29,7702.310059
2019-08-30,7691
2019-09-03,7609.509766
2019-09-04,7719.25
2019-09-05,7862.540039
2019-09-06,7852.540039
2019-09-09,7832.399902
2019-09-10,7814.740234
2019-09-11,7887.580078
2019-09-12,7917.339844
2019-09-13,7892.950195
2019-09-16,7852.410156
2019-09-17,7888.790039
2019-09-18,7888.560059
2019-09-19,7901.790039
2019-09-20,7823.549805
2019-09-23,7818.609863
2019-09-24,7710.040039
2019-09-25,7803.540039
2019-09-26,7771.990234
2019-09-27,7681.580078
2019-09-30,7749.450195
2019-10-01,7684.140137
2019-10-02,7550.790039
2019-10-03,7638.390137
2019-10-04,7754.100098
2019-10-07,7725.129883
2019-10-08,7604.27002
2019-10-09,7690.529785
2019-10-10,7740.359863
2019-10-11,7843.879883
2019-10-14,7842.330078
2019-10-15,7942.850098
2019-10-16,7920.209961
2019-10-17,7942.140137
2019-10-18,7868.490234
2019-10-21,7940.330078
2019-10-22,7874.620117
2019-10-23,7889.470215
2019-10-24,7966.720215
2019-10-25,8029.220215
2019-10-28,8110.669922
2019-10-29,8047.509766
2019-10-30,8083.109863
2019-10-31,8083.830078
2019-11-01,8161.169922
2019-11-04,8210.660156
2019-11-05,8210.179688
2019-11-06,8196.030273
2019-11-07,8219.650391
2019-11-08,8255.889648
2019-11-11,8241.910156
2019-11-12,8263.790039
2019-11-13,8259.80957
2019-11-14,8257.830078
2019-11-15,8315.519531
2019-11-18,8328.480469
2019-11-19,8338.740234
2019-11-20,8283.75
2019-11-21,8265.620117
2019-11-22,8272.049805
2019-11-25,8371.929688
2019-11-26,8385.75
2019-11-27,8444.709961
2019-11-29,8403.679688
2019-12-02,8309.259766
2019-12-03,8254.740234
2019-12-04,8296.530273
2019-12-05,8308.400391
2019-12-06,8397.370117
2019-12-09,8362.740234
2019-12-10,8354.290039
2019-12-11,8402.610352
2019-12-12,8466.889648
2019-12-13,8487.709961
2019-12-16,8570.330078
2019-12-17,8575.700195
2019-12-18,8580.620117
2019-12-19,8641.290039
2019-12-20,8678.490234
2019-12-23,8696.009766
2019-12-24,8699.509766
2019-12-26,8778.30957
2019-12-27,8770.980469
2019-12-30,8709.730469
2019-12-31,8733.070313
2020-01-02,8872.219727
2020-01-03,8793.900391
2020-01-06,8848.519531
2020-01-07,8846.450195
2020-01-08,8912.370117
2020-01-09,8989.629883
2020-01-10,8966.639648
2020-01-13,9070.650391
2020-01-14,9033.419922
2020-01-15,9035.669922
2020-01-16,9125
2020-01-17,9173.730469
2020-01-21,9166.629883
2020-01-22,9188.580078
2020-01-23,9216.980469
2020-01-24,9141.469727
2020-01-27,8952.179688
2020-01-28,9090.929688
2020-01-29,9101.610352
2020-01-30,9136.089844
2020-01-31,8991.509766
