date,AAPL,AMZN,NFLX,MSFT
2001-05-17,1.460169,14.78,NA,21.869097
2001-05-18,1.458929,14.72,NA,21.843445
2001-05-21,1.460789,16.379999,NA,22.068007
2001-05-22,1.457069,16.25,NA,22.555614
2001-05-23,1.440328,15.6,NA,22.359938
2001-05-24,1.438468,16.75,NA,23.007952
2001-05-25,1.411186,17.09,NA,22.748112
2001-05-29,1.331203,17.219999,NA,22.565248
2001-05-30,1.226418,15.66,NA,22.196333
2001-05-31,1.236958,16.690001,NA,22.193119
2001-06-01,1.295241,16.950001,NA,22.565248
2001-06-04,1.280981,16.91,NA,22.706406
2001-06-05,1.298341,16.440001,NA,23.290262
2001-06-06,1.285321,15.99,NA,23.21327
2001-06-07,1.342983,16.129999,NA,23.636738
2001-06-08,1.321902,15.7,NA,23.479536
2001-06-11,1.242538,14.86,NA,23.136278
2001-06-12,1.259279,14.64,NA,23.123447
2001-06-13,1.2692,14.12,NA,22.677532
2001-06-14,1.232618,13.29,NA,22.103291
2001-06-15,1.26734,12.49,NA,21.820992
2001-06-18,1.260519,11.83,NA,21.455276
2001-06-19,1.251839,11.36,NA,21.596428
2001-06-20,1.343603,12.53,NA,22.266911
2001-06-21,1.394446,13.08,NA,22.40485
2001-06-22,1.380185,12.4,NA,22.080845
2001-06-25,1.48745,12.81,NA,22.087259
2001-06-26,1.472569,13.25,NA,22.501089
2001-06-27,1.447148,14.04,NA,22.821892
2001-06-28,1.459549,14.36,NA,23.335171
2001-06-29,1.441568,14.15,NA,23.418587
2001-07-02,1.48187,14.53,NA,22.648649
2001-07-03,1.478149,14.13,NA,22.606953
2001-07-05,1.437847,15.27,NA,21.978182
2001-07-06,1.365924,15.27,NA,21.192215
2001-07-09,1.407466,15.81,NA,21.073515
2001-07-10,1.310742,15.61,NA,20.685349
2001-07-11,1.397546,15.34,NA,21.333366
2001-07-12,1.510391,16.49,NA,22.969463
2001-07-13,1.540773,16.98,NA,22.886053
2001-07-16,1.48559,16.01,NA,22.834724
2001-07-17,1.556273,16.35,NA,23.040045
2001-07-18,1.289041,15.96,NA,22.639036
2001-07-19,1.237579,16.49,NA,23.280642
2001-07-20,1.238818,16.98,NA,22.193119
2001-07-23,1.211537,16.030001,NA,21.522646
2001-07-24,1.183635,12.06,NA,21.275625
2001-07-25,1.145194,11.51,NA,21.647762
2001-07-26,1.152634,12.33,NA,21.362238
2001-07-27,1.175575,12.25,NA,21.002947
2001-07-30,1.173715,12.55,NA,21.108814
2001-07-31,1.165035,12.49,NA,21.233923
2001-08-01,1.181776,12.5,NA,21.32375
2001-08-02,1.228898,12.19,NA,21.638128
2001-08-03,1.209057,12.15,NA,21.458479
2001-08-06,1.186116,11.9,NA,21.214666
2001-08-07,1.193556,11.6,NA,21.285242
2001-08-08,1.171855,11.11,NA,20.807251
2001-08-09,1.181155,10.46,NA,20.855371
2001-08-10,1.179295,9.95,NA,21.018978
2001-08-13,1.183635,10.12,NA,21.118437
2001-08-14,1.161315,10.53,NA,20.752716
2001-08-15,1.143334,10.08,NA,20.274725
2001-08-16,1.156354,9.81,NA,20.730263
2001-08-17,1.120393,9.99,NA,19.851259
2001-08-20,1.123493,10.4,NA,20.114319
2001-08-21,1.111092,9.89,NA,19.498373
2001-08-22,1.129073,10.2,NA,19.459877
2001-08-23,1.104272,9.63,NA,18.965843
2001-08-24,1.151394,10.23,NA,19.905798
2001-08-27,1.173096,10.13,NA,19.989206
2001-08-28,1.140854,9.97,NA,19.485554
2001-08-29,1.105512,9.19,NA,19.328358
2001-08-30,1.105512,8.69,NA,18.266495
2001-08-31,1.150154,8.94,NA,18.301785
2001-09-04,1.131553,8.59,NA,17.997021
2001-09-05,1.150154,7.65,NA,18.523142
2001-09-06,1.098692,8.15,NA,17.971357
2001-09-07,1.07141,8.51,NA,17.772457
2001-09-10,1.076991,8.63,NA,18.471811
2001-09-17,1.05343,7.49,NA,16.973661
2001-09-18,1.009408,7.29,NA,17.425993
2001-09-19,1.05529,7.31,NA,17.281635
2001-09-20,0.972206,7.48,NA,16.283936
2001-09-21,0.975306,7.48,NA,15.947096
2001-09-24,1.019948,7.46,NA,16.684937
2001-09-25,0.963525,7.09,NA,16.457176
2001-09-26,0.939344,6.35,NA,16.126743
2001-09-27,0.961665,6.2,NA,16.027302
2001-09-28,0.961665,5.97,NA,16.415462
2001-10-01,0.963525,6.01,NA,16.614367
2001-10-02,0.933144,6.08,NA,17.01857
2001-10-03,0.928804,6.76,NA,18.038733
2001-10-04,0.984606,7.04,NA,18.106098
2001-10-05,1.000727,7.2,NA,18.516724
2001-10-08,1.004447,7.12,NA,18.619383
2001-10-09,0.992047,6.91,NA,17.502991
2001-10-10,1.042889,7.26,NA,17.807749
2001-10-11,1.099932,7.85,NA,18.067595
2001-10-12,1.116673,8.07,NA,18.086842
2001-10-15,1.115433,8.88,NA,18.625793
2001-10-16,1.116673,9.56,NA,18.750908
2001-10-17,1.05343,8.92,NA,17.974564
2001-10-18,1.116052,8.47,NA,18.205547
2001-10-19,1.134653,8.01,NA,18.574474
2001-10-22,1.179295,8.77,NA,19.299477
2001-10-23,1.124733,9.55,NA,19.386097
2001-10-24,1.174955,7.64,NA,19.671612
2001-10-25,1.189836,7.77,NA,20.069407000000002
2001-10-26,1.157594,7.56,NA,19.953915
2001-10-29,1.093111,7.05,NA,19.132669
2001-10-30,1.091251,6.42,NA,18.888853
2001-10-31,1.088771,6.98,NA,18.654663
2001-11-01,1.152634,6.95,NA,19.838428
2001-11-02,1.151394,6.71,NA,19.697273
2001-11-05,1.182396,6.99,NA,20.297182
2001-11-06,1.213397,7.05,NA,20.781591
2001-11-07,1.214637,7.43,NA,20.611563
2001-11-08,1.160074,6.97,NA,20.666092
2001-11-09,1.160074,7.12,NA,20.919533
2001-11-12,1.162555,7.05,NA,21.105606
2001-11-13,1.200996,7.29,NA,21.782499
2001-11-14,1.215877,9.49,NA,21.156927
2001-11-15,1.205957,9.05,NA,21.211458
2001-11-16,1.176196,8.95,NA,21.09277
2001-11-19,1.240059,9.19,NA,21.346199
2001-11-20,1.210917,8.6,NA,20.980494
2001-11-21,1.220217,8.8,NA,20.547398
2001-11-23,1.230138,9.08,NA,20.75913
2001-11-26,1.325002,12.21,NA,20.897079
2001-11-27,1.302061,11.48,NA,20.447962
2001-11-28,1.27292,11.59,NA,20.146399
2001-11-29,1.266099,11.15,NA,20.80084
2001-11-30,1.320662,11.32,NA,20.598732
2001-12-03,1.305162,10.49,NA,20.778379
2001-12-04,1.388865,11.93,NA,21.172968
2001-12-05,1.473189,11.76,NA,21.846649
2001-12-06,1.412426,12.1,NA,22.023092
2001-12-07,1.397546,11.71,NA,21.760033
2001-12-10,1.397546,11.65,NA,21.513014
2001-12-11,1.350423,12.24,NA,21.596428
2001-12-12,1.332442,11.91,NA,21.798534
2001-12-13,1.302061,10.89,NA,21.259583
