date,AAPL,AMZN,NFLX,MSFT
2012-04-30,72.416931,231.899994,11.448571,26.512798
2012-05-31,71.641876,212.910004,9.062857,24.328133
2012-06-30,72.419403,228.350006,9.784286,25.494946
2012-07-31,75.737808,233.300003,8.121428,24.561493
2012-08-31,82.847824,248.270004,8.531428,25.856806
2012-09-30,83.079475,254.320007,7.777143,24.967503
2012-10-31,74.140106,232.889999,11.32,23.943966
2012-11-30,73.222649,252.050003,11.672857,22.516682
2012-12-31,66.578217,250.869995,13.227143,22.592806
2013-01-31,56.985012,265.5,23.605715,23.218744
2013-02-28,55.54409,264.269989,26.868572,23.70948
2013-03-31,55.702641,266.48999,27.040001,24.400293
2013-04-30,55.717735,253.809998,30.867144,28.22963
2013-05-31,56.966885,269.200012,32.32143,29.973494
2013-06-30,50.228096,277.690002,30.155714,29.664309
2013-07-31,57.321556,301.220001,34.925713,27.345446
2013-08-31,62.123211,280.980011,40.558571,28.887365
2013-09-30,60.788208,312.640015,44.172855,28.783575
2013-10-31,66.647102,364.029999,46.068573,30.625797
2013-11-30,71.315887,393.619995,52.257141,33.228413
2013-12-31,71.950768,398.790009,52.595715,32.600952
2014-01-31,64.201897,358.690002,58.475716,32.975685
2014-02-28,67.894188,362.100006,63.66143,33.635612
2014-03-31,69.248878,336.369995,50.290001,35.988625
2014-04-30,76.131958,304.130005,46.005714,35.470604
2014-05-31,82.124245,312.549988,59.689999,36.198288
2014-06-30,84.395966,324.779999,62.942856,36.870274
2014-07-31,86.820778,312.98999,60.388573,38.161182
2014-08-31,93.550148,339.040009,68.234283,40.41914
2014-09-30,91.95295,322.440002,64.454285,41.246563
2014-10-31,98.569885,305.459991,56.110001,41.771484
2014-11-30,109.016205,338.640015,49.512856,42.804924
2014-12-31,101.178932,310.350006,48.80143,41.587284
2015-01-31,107.393768,354.529999,63.114285,36.17065
2015-02-28,118.216537,380.160004,67.844284,39.538872
2015-03-31,114.507881,372.100006,59.527142,36.662495
2015-04-30,115.170479,421.779999,79.5,43.857941
2015-05-31,120.392212,429.230011,89.151428,42.527546
2015-06-30,115.910301,434.089996,93.848572,40.0681
2015-07-31,112.09375,536.150024,114.309998,42.382339
2015-08-31,104.673584,512.890015,115.029999,39.75679
2015-09-30,102.389992,511.890015,103.260002,40.432808
2015-10-31,110.930237,625.900024,108.379997,48.088177
2015-11-30,110.286354,664.799988,123.330002,49.984982
2015-12-31,98.129669,675.890015,114.379997,51.024227
2016-01-31,90.746178,587,91.839996,50.665543
2016-02-29,90.629341,552.52002,93.410004,47.129642
2016-03-31,102.158356,593.640015,102.230003,51.158993
2016-04-30,87.864235,659.590027,90.029999,46.19408
2016-05-31,94.170525,722.789978,102.57,49.43676
2016-06-30,90.153221,715.619995,91.480003,47.729782
2016-07-31,98.272682,758.809998,91.25,52.869335
2016-08-31,100.597023,769.159973,97.449997,53.930954
2016-09-30,107.186554,837.309998,98.550003,54.062355
2016-10-31,107.651123,789.820007,124.870003,56.239861
2016-11-30,105.325768,750.570007,117,56.941071
2016-12-31,110.376678,749.869995,123.800003,58.717522
2017-01-31,115.646774,823.47998,140.710007,61.089279
2017-02-28,131.117783,845.039978,142.130005,60.822701
2017-03-31,137.501846,886.539978,147.809998,62.609928
2017-04-30,137.492264,924.98999,152.199997,65.081627
2017-05-31,146.815247,994.619995,163.070007,66.774078
2017-06-30,138.415375,968,149.410004,65.90403
2017-07-31,142.942078,987.780029,181.660004,69.50853
2017-08-31,158.236786,980.599976,174.710007,71.868546
2017-09-30,148.703979,961.349976,181.350006,71.599403
2017-10-31,163.09967,1105.280029,196.429993,79.952187
2017-11-30,166.407013,1176.75,187.580002,81.310074
2017-12-31,163.869995,1169.469971,191.960007,82.633545
2018-01-31,162.127014,1450.890015,270.299988,91.781754
2018-02-28,173.181656,1512.449951,291.380005,91.009407
2018-03-31,163.128311,1447.339966,295.350006,88.583
2018-04-30,160.678177,1566.130005,312.459991,90.766754
2018-05-31,182.389633,1629.619995,351.600006,96.34594
2018-06-30,180.671844,1699.800049,391.429993,96.12175
2018-07-31,185.727646,1777.439941,337.450012,103.403252
2018-08-31,222.951584,2012.709961,367.679993,109.916916
2018-09-30,221.100433,2003,374.130005,111.913086
2018-10-31,214.361847,1598.01001,301.779999,104.515488
2018-11-30,175.519989,1690.170044,286.130005,108.976616
2018-12-31,155.037109,1501.969971,267.660004,99.817421
2019-01-31,163.587997,1718.72998,339.5,102.628075
2019-02-28,170.912918,1639.829956,358.100006,110.567131
2019-03-31,187.495865,1780.75,356.559998,116.399963
2019-04-30,198.077362,1926.52002,370.540009,128.894653
2019-05-31,173.473602,1775.069946,343.279999,122.516846
2019-06-30,196.115219,1893.630005,367.320007,132.70018
2019-07-31,211.097366,1866.780029,322.98999,134.988449
2019-08-31,207.622437,1776.290039,293.75,137.01825
2019-09-30,222.770889,1735.910034,267.619995,138.181091
2019-10-31,247.428162,1776.660034,287.410004,142.494583
2019-11-30,266.617249,1800.800049,314.660004,150.967651
2019-12-31,292.954712,1847.839966,323.570007,157.270432
2020-01-31,308.777191,2008.719971,345.089996,169.766296
2020-02-29,273.359985,1883.75,369.029999,162.009995
2020-03-31,247.740005,1900.099976,357.119995,149.699997
